STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:US1ILCK0149,OAK LAWN 0.5 SSW IL US,20150219,0.00,-9999,0.0
GHCND:US1ILCK0149,OAK LAWN 0.5 SSW IL US,20150220,0.00,-9999,0.0
GHCND:US1ILCK0149,OAK LAWN 0.5 SSW IL US,20150221,0.01,5.4,0.1
GHCND:US1ILCK0149,OAK LAWN 0.5 SSW IL US,20150222,0.00,-9999,0.0
GHCND:US1ILCK0149,OAK LAWN 0.5 SSW IL US,20150223,0.00,-9999,0.0
GHCND:US1ILCK0149,OAK LAWN 0.5 SSW IL US,20150224,0.00,-9999,0.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150217,0.26,6.0,5.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150218,0.05,4.0,1.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150219,0.00,3.0,0.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150220,0.00,2.5,0.1
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150221,0.00,2.0,0.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150222,1.02,4.2,4.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150223,0.02,3.0,0.0
GHCND:US1NJMN0048,LONG BRANCH 0.5 W NJ US,20150224,0.00,3.0,0.0
GHCND:USC00180467,BALTIMORE WASHINGTON INTERNATIONAL CLIMATE SNOW MD US,20150217,0.16,-9999,1.8
GHCND:USC00180467,BALTIMORE WASHINGTON INTERNATIONAL CLIMATE SNOW MD US,20150218,0.00,-9999,0.0
GHCND:USC00180467,BALTIMORE WASHINGTON INTERNATIONAL CLIMATE SNOW MD US,20150221,0.43,-9999,6.3
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150217,0.13,7.9,3.2
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150218,0.00,7.1,0.1
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150219,0.00,5.1,0.0
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150220,0.00,5.1,0.0
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150221,0.60,5.1,3.6
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150222,0.11,7.9,0.5
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150223,0.00,5.9,0.0
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,20150224,0.00,5.9,0.0
GHCND:USC00193890,JAMAICA PLAIN MA US,20150217,0.00,30.0,0.0
GHCND:USC00193890,JAMAICA PLAIN MA US,20150218,0.05,31.0,0.5
GHCND:USC00193890,JAMAICA PLAIN MA US,20150219,0.08,33.0,1.9
GHCND:USC00193890,JAMAICA PLAIN MA US,20150220,0.02,31.0,0.2
GHCND:USC00193890,JAMAICA PLAIN MA US,20150221,0.00,31.0,0.0
GHCND:USC00193890,JAMAICA PLAIN MA US,20150222,0.29,30.0,0.8
GHCND:USC00193890,JAMAICA PLAIN MA US,20150223,0.00,29.0,0.0
GHCND:USC00193890,JAMAICA PLAIN MA US,20150224,0.00,29.0,0.0
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150217,0.10,7.9,3.2
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150218,0.00,7.1,0.0
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150219,0.00,5.9,0.0
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150220,0.00,5.1,0.0
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150221,0.59,5.1,4.1
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150222,0.08,7.9,0.3
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150223,0.00,5.1,0.0
GHCND:USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT NJ US,20150224,0.00,5.1,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150217,0.00,3.5,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150218,0.00,3.5,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150219,0.00,3.5,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150220,0.00,3.5,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150221,0.00,3.5,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150222,0.00,3.0,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150223,0.00,3.5,0.0
GHCND:US1ILCK0154,WORTH 0.1 E IL US,20150224,0.00,3.0,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150217,0.00,-9999,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150218,0.00,6.0,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150219,0.00,6.0,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150220,0.00,6.0,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150221,0.00,6.0,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150222,0.00,6.0,0.0
GHCND:US1ILDP0128,NAPERVILLE 3.7 NW IL US,20150223,0.00,6.0,0.0
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150217,0.00,6.0,0.1
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150218,0.01,6.0,0.3
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150219,0.00,6.0,0.0
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150220,0.00,6.0,0.0
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150221,0.00,6.0,0.2
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150222,0.00,6.0,0.0
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150223,0.00,6.0,0.0
GHCND:US1ILDP0127,DOWNERS GROVE 0.4 NNE IL US,20150224,0.00,6.0,0.0
GHCND:USC00194502,MARBLEHEAD MA US,20150217,0.00,31.0,0.0
GHCND:USC00194502,MARBLEHEAD MA US,20150218,0.00,29.0,0.0
GHCND:USC00194502,MARBLEHEAD MA US,20150219,0.02,30.0,1.5
GHCND:USC00194502,MARBLEHEAD MA US,20150220,0.00,29.0,0.0
GHCND:USC00194502,MARBLEHEAD MA US,20150221,0.00,28.0,0.0
GHCND:USC00194502,MARBLEHEAD MA US,20150222,0.33,29.0,1.0
GHCND:USC00194502,MARBLEHEAD MA US,20150223,0.00,27.0,0.0
GHCND:USC00194502,MARBLEHEAD MA US,20150224,0.00,27.0,0.0
GHCND:USC00194744,MIDDLETON MA US,20150217,0.00,30.0,0.0
GHCND:USC00194744,MIDDLETON MA US,20150218,0.00,26.0,0.0
GHCND:USC00194744,MIDDLETON MA US,20150219,0.10,26.0,1.5
GHCND:USC00194744,MIDDLETON MA US,20150220,0.00,24.0,0.0
GHCND:USC00194744,MIDDLETON MA US,20150221,0.00,22.0,0.0
GHCND:USC00194744,MIDDLETON MA US,20150222,0.28,23.0,3.0
GHCND:USC00194744,MIDDLETON MA US,20150223,0.00,23.0,0.0
GHCND:USC00194744,MIDDLETON MA US,20150224,0.00,23.0,0.0
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150217,0.00,-9999,0.0
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150218,0.00,-9999,-9999
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150219,0.00,-9999,0.0
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150220,0.00,-9999,0.0
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150221,0.00,-9999,-9999
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150222,0.00,-9999,0.0
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150223,0.00,-9999,0.0
GHCND:US1ILCK0036,CHICAGO 4.7 NE IL US,20150224,0.00,-9999,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150217,0.00,5.5,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150218,0.00,5.0,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150219,0.00,5.0,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150220,0.00,5.0,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150221,0.00,5.0,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150222,0.00,5.0,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150223,0.00,5.0,0.0
GHCND:US1ILCK0152,CHICAGO RIDGE 0.2 WSW IL US,20150224,0.00,4.5,0.0
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150217,0.00,-9999,-9999
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150218,0.00,-9999,-9999
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150219,0.00,-9999,-9999
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150220,0.00,-9999,-9999
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150221,0.00,-9999,0.0
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150222,0.00,-9999,0.0
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150223,0.00,-9999,0.0
GHCND:US1ILCK0153,ALSIP 0.2 E IL US,20150224,0.00,-9999,-9999
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150218,0.00,-9999,-9999
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150219,0.00,-9999,0.0
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150220,0.00,-9999,0.0
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150221,0.00,-9999,0.0
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150222,0.00,-9999,0.0
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150223,0.00,-9999,0.0
GHCND:US1ILCK0139,OAK LAWN 1.1 N IL US,20150224,0.00,-9999,0.0
GHCND:USW00014739,BOSTON MA US,20150217,0.02,-9999,0.6
GHCND:USW00014739,BOSTON MA US,20150218,0.01,-9999,0.0
GHCND:USW00014739,BOSTON MA US,20150219,0.06,-9999,2.4
GHCND:USW00014739,BOSTON MA US,20150220,0.00,-9999,0.0
GHCND:USW00014739,BOSTON MA US,20150221,0.17,-9999,1.1
GHCND:USW00014739,BOSTON MA US,20150222,0.11,-9999,0.1
GHCND:USW00014739,BOSTON MA US,20150223,0.00,0.0,0.0
GHCND:USW00014739,BOSTON MA US,20150224,0.00,-9999,0.0
GHCND:US1NJMN0032,FAIR HAVEN 0.4 E NJ US,20150217,0.22,6.0,3.4
GHCND:US1NJMN0032,FAIR HAVEN 0.4 E NJ US,20150222,0.98,-9999,-9999
GHCND:US1NJMN0032,FAIR HAVEN 0.4 E NJ US,20150223,0.02,-9999,-9999
GHCND:US1NJMN0032,FAIR HAVEN 0.4 E NJ US,20150224,0.00,-9999,0.0
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150217,0.08,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150218,0.01,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150219,0.00,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150220,0.00,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150221,0.59,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150222,0.06,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150223,0.00,-9999,-9999
GHCND:USW00094741,TETERBORO AIRPORT NJ US,20150224,0.00,-9999,-9999
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150217,0.00,7.5,-9999
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150218,0.00,7.5,-9999
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150219,0.00,7.5,-9999
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150220,0.00,7.5,0.0
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150221,0.00,7.5,-9999
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150222,0.00,7.0,-9999
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150223,0.00,7.0,0.0
GHCND:US1ILCK0145,OAK PARK 1.5 S IL US,20150224,0.00,6.5,0.0
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150217,0.01,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150218,0.00,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150219,0.00,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150220,0.00,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150221,0.43,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150222,0.09,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150223,0.00,-9999,-9999
GHCND:USW00094745,WESTCHESTER CO AIRPORT NY US,20150224,0.00,-9999,-9999
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150217,0.00,-9999,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150218,0.00,-9999,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150219,0.00,-9999,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150220,0.00,6.0,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150221,0.00,6.0,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150222,0.00,-9999,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150223,0.00,-9999,0.0
GHCND:US1ILDP0032,LISLE 1.3 SE IL US,20150224,0.00,-9999,0.0
GHCND:US1VAFX0001,HERNDON 3.3 S VA US,20150224,0.00,5.5,0.0
GHCND:US1ILCK0050,PALOS PARK 1.3 SW IL US,20150217,0.00,-9999,0.0
GHCND:US1ILCK0050,PALOS PARK 1.3 SW IL US,20150221,0.00,-9999,0.0
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20150217,0.23,5.1,1.8
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20150218,0.00,3.9,0.1
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20150219,0.00,3.9,0.1
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20150220,0.00,3.1,0.0
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20150221,0.70,3.1,2.6
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20150222,0.10,3.9,0.0
